date,gross_return,net_return,turnover,w_spy,w_iwm,w_tlt,w_cash
2019-01-02,0.003986585686296157,0.0034884509626946472,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-01-03,-0.010178434460057928,-0.010178434460057928,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-01-04,0.019565482304889206,0.019565482304889206,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-01-07,0.0074489516676359505,0.0074489516676359505,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-01-08,0.007338803832828811,0.007338803832828811,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-01-09,0.0037808426250707673,0.0037808426250707673,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-01-10,0.0007570916966713161,0.0007570916966713161,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-01-11,0.0015212600156245919,0.0015212600156245919,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-01-14,-0.006613495351376081,-0.006613495351376081,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-01-15,0.005399962260763076,0.005399962260763076,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-01-16,0.003619916372487029,0.003619916372487029,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-01-17,0.005617675601174787,0.005617675601174787,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-01-18,0.006099655580924242,0.006099655580924242,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-01-22,-0.007545238283401791,-0.007545238283401791,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-01-23,-0.00036059699550104144,-0.00036059699550104144,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-01-24,0.004361714590408071,0.004361714590408071,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-01-25,0.005493951007532932,0.005493951007532932,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-01-28,-0.0046633513788926426,-0.0046633513788926426,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-01-29,0.0004501974178199109,0.0004501974178199109,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-01-30,0.00863964377989064,0.00863964377989064,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-01-31,0.008598450502301739,0.008598450502301739,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-02-01,-0.0015855939699653799,-0.0015855939699653799,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-02-04,0.004822689053187187,0.004822689053187187,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-02-05,0.003267747711774088,0.003267747711774088,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-02-06,-0.0006932994991613471,-0.0006932994991613471,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-02-07,-0.003719880195078695,-0.003719880195078695,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-02-08,0.0021837825012508295,0.0021837825012508295,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-02-11,0.0016562521353280465,0.0016562521353280465,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-02-12,0.007579419009971417,0.007579419009971417,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-02-13,0.0007574154093586142,0.0007574154093586142,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-02-14,0.0019184610774819815,0.0019184610774819815,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-02-15,0.009418811358882633,0.009418811358882633,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-02-19,0.002338808259224163,0.002338808259224163,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-02-20,0.001291693487032575,0.001291693487032575,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-02-21,-0.00545031342648003,-0.00545031342648003,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-02-22,0.006919685380007663,0.006919685380007663,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-02-25,-0.00044886590303874654,-0.00044886590303874654,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-02-26,-0.0008857866200311589,-0.0008857866200311589,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-02-27,-0.003458659627609267,-0.003458659627609267,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-02-28,-0.0029040146513278557,-0.0029040146513278557,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-03-01,0.0021020901162016013,0.0021020901162016013,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-03-04,-0.001613751982746709,-0.001613751982746709,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-03-05,-0.0013091415266714278,-0.0013091415266714278,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-03-06,-0.007357142811644379,-0.007357142811644379,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2019-03-07,-0.0035522425566975905,-0.0035522425566975905,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
