date,gross_return,net_return,turnover,w_spy,w_iwm,w_tlt,w_cash
2019-03-28,0.003663089640873899,0.003663089640873899,0.0,0.6,0.0,0.4,0.0
2019-03-29,0.0033984318950261026,0.0033984318950261026,0.0,0.6,0.0,0.4,0.0
2019-04-01,0.0014329714597820916,0.0014329714597820916,0.0,0.6,0.0,0.4,0.0
2019-04-02,0.0010327900489310667,0.0010327900489310667,0.0,0.6,0.0,0.4,0.0
2019-04-03,-0.0025260174073410413,-0.0025260174073410413,0.0,0.6,0.0,0.4,0.0
2019-04-04,0.002721867144838489,0.002721867144838489,0.0,0.6,0.0,0.4,0.0
2019-04-05,0.0034149435086606684,0.0034149435086606684,0.0,0.6,0.0,0.4,0.0
2019-04-08,-0.000962118024137738,-0.000962118024137738,0.0,0.6,0.0,0.4,0.0
2019-04-09,-0.0018141889616473386,-0.0018141889616473386,0.0,0.6,0.0,0.4,0.0
2019-04-10,0.0030094987607337366,0.0030094987607337366,0.0,0.6,0.0,0.4,0.0
2019-04-11,-0.0025188185525758322,-0.0025188185525758322,0.0,0.6,0.0,0.4,0.0
2019-04-12,0.0012095730996865188,0.0012095730996865188,0.0,0.6,0.0,0.4,0.0
2019-04-15,0.0006178380243793022,0.0006178380243793022,0.0,0.6,0.0,0.4,0.0
2019-04-16,-0.002113688997149895,-0.002113688997149895,0.0,0.6,0.0,0.4,0.0
2019-04-17,-0.001305036353327584,-0.001305036353327584,0.0,0.6,0.0,0.4,0.0
2019-04-18,0.003270066707372161,0.003270066707372161,0.0,0.6,0.0,0.4,0.0
2019-04-22,-0.0014040913674396405,-0.0014040913674396405,0.0,0.6,0.0,0.4,0.0
2019-04-23,0.006225874474952139,0.006225874474952139,0.0,0.6,0.0,0.4,0.0
2019-04-24,0.0019299869326728667,0.0019299869326728667,0.0,0.6,0.0,0.4,0.0
2019-04-25,-0.0009527615499189338,-0.0009527615499189338,0.0,0.6,0.0,0.4,0.0
2019-04-26,0.004146768923347536,0.004146768923347536,0.0,0.6,0.0,0.4,0.0
2019-04-29,-0.0016127726080720562,-0.0016127726080720562,0.0,0.6,0.0,0.4,0.0
2019-04-30,0.002351786992993971,0.002351786992993971,0.0,0.6,0.0,0.4,0.0
2019-05-01,-0.0028638742452145893,-0.0028638742452145893,0.0,0.6,0.0,0.4,0.0
2019-05-02,-0.0032051179573176197,-0.0032051179573176197,0.0,0.6,0.0,0.4,0.0
2019-05-03,0.006983486294131951,0.006983486294131951,0.0,0.6,0.0,0.4,0.0
2019-05-06,-0.0013703342881456633,-0.0013703342881456633,0.0,0.6,0.0,0.4,0.0
2019-05-07,-0.006979717401017068,-0.006979717401017068,0.0,0.6,0.0,0.4,0.0
2019-05-08,-0.0025653779632276662,-0.0025653779632276662,0.0,0.6,0.0,0.4,0.0
2019-05-09,-0.00017589809781026742,-0.00017589809781026742,0.0,0.6,0.0,0.4,0.0
2019-05-10,0.0024667684195028745,0.0024667684195028745,0.0,0.6,0.0,0.4,0.0
2019-05-13,-0.01200774312203757,-0.01200774312203757,0.0,0.6,0.0,0.4,0.0
2019-05-14,0.004240336093751644,0.004240336093751644,0.0,0.6,0.0,0.4,0.0
2019-05-15,0.005953806140381594,0.005953806140381594,0.0,0.6,0.0,0.4,0.0
2019-05-16,0.0042157406693491715,0.0042157406693491715,0.0,0.6,0.0,0.4,0.0
2019-05-17,-0.002992826469913223,-0.002992826469913223,0.0,0.6,0.0,0.4,0.0
2019-05-20,-0.004804221296798019,-0.004804221296798019,0.0,0.6,0.0,0.4,0.0
2019-05-21,0.0047617288351501155,0.0047617288351501155,0.0,0.6,0.0,0.4,0.0
2019-05-22,0.0004515719380753591,0.0004515719380753591,0.0,0.6,0.0,0.4,0.0
