date,gross_return,net_return,turnover,w_spy,w_iwm,w_tlt,w_cash
2019-01-02,0.00253520407355417,0.00203634566096356,1.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-01-03,-0.011645235544409403,-0.011645235544409403,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-01-04,0.01769880511400945,0.01769880511400945,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-01-07,0.004171196038691271,0.004171196038691271,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-01-08,0.005240016665617709,0.005240016665617709,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-01-09,0.002524724854048461,0.002524724854048461,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-01-10,7.59136012986783e-05,7.59136012986783e-05,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-01-11,0.0016063510677661532,0.0016063510677661532,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-01-14,-0.005312255394764242,-0.005312255394764242,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-01-15,0.006170393283138289,0.006170393283138289,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-01-16,0.001956215662771067,0.001956215662771067,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-01-17,0.005033033391288635,0.005033033391288635,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-01-18,0.006820631505851805,0.006820631505851805,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-01-22,-0.006496142469354568,-0.006496142469354568,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-01-23,0.0011899462141588743,0.0011899462141588743,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-01-24,0.0026592433829504708,0.0026592433829504708,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-01-25,0.0038763511535485967,0.0038763511535485967,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-01-28,-0.005304965251508291,-0.005304965251508291,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-01-29,0.0008880451724545025,0.0008880451724545025,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-01-30,0.009989793509368428,0.009989793509368428,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-01-31,0.008679420862954416,0.008679420862954416,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-02-01,-0.0017842256342007735,-0.0017842256342007735,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-02-04,0.003064721765917219,0.003064721765917219,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-02-05,0.004293487371917066,0.004293487371917066,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-02-06,-0.0006874148043446139,-0.0006874148043446139,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-02-07,-0.003922103343639864,-0.003922103343639864,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-02-08,0.0022767799670471785,0.0022767799670471785,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
2019-02-11,-0.0009534654057543618,-0.0009534654057543618,0.0,0.6462094882961001,0.006254480358752959,0.347536031345147,0.0
