Date,Close
1963-01-02,62.689998626708984
1963-01-03,63.720001220703125
1963-01-04,64.12999725341797
1963-01-07,64.12000274658203
1963-01-08,64.73999786376953
1963-01-09,64.58999633789062
1963-01-10,64.70999908447266
1963-01-11,64.8499984741211
1963-01-14,65.19999694824219
1963-01-15,65.11000061035156
1963-01-16,64.66999816894531
1963-01-17,65.12999725341797
1963-01-18,65.18000030517578
1963-01-21,65.27999877929688
1963-01-22,65.44000244140625
1963-01-23,65.62000274658203
1963-01-24,65.75
1963-01-25,65.91999816894531
1963-01-28,66.23999786376953
1963-01-29,66.2300033569336
1963-01-30,65.8499984741211
1963-01-31,66.19999694824219
1963-02-01,66.30999755859375
1963-02-04,66.16999816894531
1963-02-05,66.11000061035156
1963-02-06,66.4000015258789
1963-02-07,66.16999816894531
1963-02-08,66.16999816894531
1963-02-11,65.76000213623047
1963-02-12,65.83000183105469
1963-02-13,66.1500015258789
1963-02-14,66.3499984741211
1963-02-15,66.41000366210938
1963-02-18,66.5199966430664
1963-02-19,66.19999694824219
1963-02-20,65.83000183105469
1963-02-21,65.91999816894531
1963-02-25,65.45999908447266
1963-02-26,65.47000122070312
1963-02-27,65.01000213623047
1963-02-28,64.29000091552734
1963-03-01,64.0999984741211
1963-03-04,64.72000122070312
1963-03-05,64.73999786376953
1963-03-06,64.8499984741211
1963-03-07,65.26000213623047
1963-03-08,65.33000183105469
1963-03-11,65.51000213623047
1963-03-12,65.66999816894531
1963-03-13,65.91000366210938
1963-03-14,65.5999984741211
1963-03-15,65.93000030517578
1963-03-18,65.61000061035156
1963-03-19,65.47000122070312
1963-03-20,65.94999694824219
1963-03-21,65.8499984741211
1963-03-22,66.19000244140625
1963-03-25,66.20999908447266
1963-03-26,66.4000015258789
1963-03-27,66.68000030517578
1963-03-28,66.58000183105469
1963-03-29,66.56999969482422
1963-04-01,66.8499984741211
1963-04-02,66.83999633789062
1963-04-03,67.36000061035156
1963-04-04,67.8499984741211
1963-04-05,68.27999877929688
1963-04-08,68.5199966430664
1963-04-09,68.44999694824219
1963-04-10,68.29000091552734
1963-04-11,68.7699966430664
1963-04-15,69.08999633789062
1963-04-16,69.13999938964844
1963-04-17,68.91999816894531
1963-04-18,68.88999938964844
1963-04-19,69.2300033569336
1963-04-22,69.30000305175781
1963-04-23,69.52999877929688
1963-04-24,69.72000122070312
1963-04-25,69.76000213623047
1963-04-26,69.69999694824219
1963-04-29,69.6500015258789
1963-04-30,69.80000305175781
1963-05-01,69.97000122070312
1963-05-02,70.16999816894531
1963-05-03,70.02999877929688
1963-05-06,69.52999877929688
1963-05-07,69.44000244140625
1963-05-08,70.01000213623047
1963-05-09,70.3499984741211
1963-05-10,70.5199966430664
1963-05-13,70.4800033569336
1963-05-14,70.20999908447266
1963-05-15,70.43000030517578
1963-05-16,70.25
1963-05-17,70.29000091552734
1963-05-20,69.95999908447266
1963-05-21,70.13999938964844
1963-05-22,70.13999938964844
1963-05-23,70.0999984741211
1963-05-24,70.0199966430664
1963-05-27,69.87000274658203
1963-05-28,70.01000213623047
1963-05-29,70.33000183105469
