Date,Close,High,Low,Open,Volume
1993-05-04,105.37999725341797,105.37999725341797,105.37999725341797,105.37999725341797,0
1993-05-05,105.19000244140625,105.19000244140625,105.19000244140625,105.19000244140625,0
1993-05-06,105.05999755859375,105.05999755859375,105.05999755859375,105.05999755859375,0
1993-05-07,104.51000213623047,104.51000213623047,104.51000213623047,104.51000213623047,0
1993-05-10,104.83999633789062,104.83999633789062,104.83999633789062,104.83999633789062,0
1993-05-11,105.12000274658203,105.12000274658203,105.12000274658203,105.12000274658203,0
1993-05-12,104.77999877929688,104.77999877929688,104.77999877929688,104.77999877929688,0
1993-05-13,102.55999755859375,102.55999755859375,102.55999755859375,102.55999755859375,0
1993-05-14,103.47000122070312,103.47000122070312,103.47000122070312,103.47000122070312,0
1993-05-17,103.31999969482422,103.31999969482422,103.31999969482422,103.31999969482422,0
1993-05-18,104.26000213623047,104.26000213623047,104.26000213623047,104.26000213623047,0
1993-05-19,107.05999755859375,107.05999755859375,107.05999755859375,107.05999755859375,0
1993-05-20,107.56999969482422,107.56999969482422,107.56999969482422,107.56999969482422,0
1993-05-21,106.13999938964844,106.13999938964844,106.13999938964844,106.13999938964844,0
1993-05-24,107.02999877929688,107.02999877929688,107.02999877929688,107.02999877929688,0
1993-05-25,107.93000030517578,107.93000030517578,107.93000030517578,107.93000030517578,0
1993-05-26,108.87000274658203,108.87000274658203,108.87000274658203,108.87000274658203,0
1993-05-27,108.47000122070312,108.47000122070312,108.47000122070312,108.47000122070312,0
1993-05-28,108.37999725341797,108.37999725341797,108.37999725341797,108.37999725341797,0
1993-06-01,109.37000274658203,109.37000274658203,109.37000274658203,109.37000274658203,0
1993-06-02,109.5999984741211,109.5999984741211,109.5999984741211,109.5999984741211,0
1993-06-03,109.66000366210938,109.66000366210938,109.66000366210938,109.66000366210938,0
1993-06-04,109.79000091552734,109.79000091552734,109.79000091552734,109.79000091552734,0
1993-06-07,110.08000183105469,110.08000183105469,110.08000183105469,110.08000183105469,0
1993-06-08,109.68000030517578,109.68000030517578,109.68000030517578,109.68000030517578,0
1993-06-09,110.08000183105469,110.08000183105469,110.08000183105469,110.08000183105469,0
1993-06-10,109.95999908447266,109.95999908447266,109.95999908447266,109.95999908447266,0
1993-06-11,110.69999694824219,110.69999694824219,110.69999694824219,110.69999694824219,0
1993-06-14,111.2699966430664,111.2699966430664,111.2699966430664,111.2699966430664,0
1993-06-15,111.2699966430664,111.2699966430664,111.2699966430664,111.2699966430664,0
1993-06-16,110.9800033569336,110.9800033569336,110.9800033569336,110.9800033569336,0
1993-06-17,111.29000091552734,111.29000091552734,111.29000091552734,111.29000091552734,0
1993-06-18,110.12999725341797,110.12999725341797,110.12999725341797,110.12999725341797,0
1993-06-21,111.26000213623047,111.26000213623047,111.26000213623047,111.26000213623047,0
1993-06-22,111.91000366210938,111.91000366210938,111.91000366210938,111.91000366210938,0
1993-06-23,111.68000030517578,111.68000030517578,111.68000030517578,111.68000030517578,0
1993-06-24,112.22000122070312,112.22000122070312,112.22000122070312,112.22000122070312,0
1993-06-25,111.91000366210938,111.91000366210938,111.91000366210938,111.91000366210938,0
1993-06-28,113.05000305175781,113.05000305175781,113.05000305175781,113.05000305175781,0
1993-06-29,113.30999755859375,113.30999755859375,113.30999755859375,113.30999755859375,0
1993-06-30,113.79000091552734,113.79000091552734,113.79000091552734,113.79000091552734,0
1993-07-01,113.81999969482422,113.81999969482422,113.81999969482422,113.81999969482422,0
1993-07-02,112.87000274658203,112.87000274658203,112.87000274658203,112.87000274658203,0
1993-07-06,112.08999633789062,112.08999633789062,112.08999633789062,112.08999633789062,0
1993-07-07,112.08999633789062,112.08999633789062,112.08999633789062,112.08999633789062,0
1993-07-08,113.41000366210938,113.41000366210938,113.41000366210938,113.41000366210938,0
1993-07-09,113.12999725341797,113.12999725341797,113.12999725341797,113.12999725341797,0
1993-07-12,113.83999633789062,113.83999633789062,113.83999633789062,113.83999633789062,0
1993-07-13,112.87000274658203,112.87000274658203,112.87000274658203,112.87000274658203,0
1993-07-14,113.63999938964844,113.63999938964844,113.63999938964844,113.63999938964844,0
1993-07-15,114.61000061035156,114.61000061035156,114.61000061035156,114.61000061035156,0
1993-07-16,114.08000183105469,114.08000183105469,114.08000183105469,114.08000183105469,0
1993-07-19,115.04000091552734,115.04000091552734,115.04000091552734,115.04000091552734,0
1993-07-20,115.47000122070312,115.47000122070312,115.47000122070312,115.47000122070312,0
1993-07-21,115.4000015258789,115.4000015258789,115.4000015258789,115.4000015258789,0
1993-07-22,114.66999816894531,114.66999816894531,114.66999816894531,114.66999816894531,0
1993-07-23,114.69999694824219,114.69999694824219,114.69999694824219,114.69999694824219,0
1993-07-26,115.73999786376953,115.73999786376953,115.73999786376953,115.73999786376953,0
1993-07-27,115.25,115.25,115.25,115.25,0
1993-07-28,115.26000213623047,115.26000213623047,115.26000213623047,115.26000213623047,0
1993-07-29,116.0199966430664,116.0199966430664,116.0199966430664,116.0199966430664,0
1993-07-30,115.2699966430664,115.2699966430664,115.2699966430664,115.2699966430664,0
1993-08-02,115.5999984741211,115.5999984741211,115.5999984741211,115.5999984741211,0
1993-08-03,114.55999755859375,114.55999755859375,114.55999755859375,114.55999755859375,0
1993-08-04,114.02999877929688,114.02999877929688,114.02999877929688,114.02999877929688,0
1993-08-05,114.51000213623047,114.51000213623047,114.51000213623047,114.51000213623047,0
1993-08-06,113.69000244140625,113.69000244140625,113.69000244140625,113.69000244140625,0
1993-08-09,114.69999694824219,114.69999694824219,114.69999694824219,114.69999694824219,0
1993-08-10,114.9800033569336,114.9800033569336,114.9800033569336,114.9800033569336,0
1993-08-11,115.26000213623047,115.26000213623047,115.26000213623047,115.26000213623047,0
1993-08-12,114.69999694824219,114.69999694824219,114.69999694824219,114.69999694824219,0
1993-08-13,115.11000061035156,115.11000061035156,115.11000061035156,115.11000061035156,0
1993-08-16,114.8499984741211,114.8499984741211,114.8499984741211,114.8499984741211,0
1993-08-17,114.0999984741211,114.0999984741211,114.0999984741211,114.0999984741211,0
1993-08-18,113.27999877929688,113.27999877929688,113.27999877929688,113.27999877929688,0
1993-08-19,111.94000244140625,111.94000244140625,111.94000244140625,111.94000244140625,0
1993-08-20,112.41999816894531,112.41999816894531,112.41999816894531,112.41999816894531,0
1993-08-23,111.55000305175781,111.55000305175781,111.55000305175781,111.55000305175781,0
1993-08-24,113.5999984741211,113.5999984741211,113.5999984741211,113.5999984741211,0
1993-08-25,115.18000030517578,115.18000030517578,115.18000030517578,115.18000030517578,0
1993-08-26,116.43000030517578,116.43000030517578,116.43000030517578,116.43000030517578,0
1993-08-27,117.36000061035156,117.36000061035156,117.36000061035156,117.36000061035156,0
1993-08-30,118.88999938964844,118.88999938964844,118.88999938964844,118.88999938964844,0
1993-08-31,119.77999877929688,119.77999877929688,119.77999877929688,119.77999877929688,0
1993-09-01,120.16000366210938,120.16000366210938,120.16000366210938,120.16000366210938,0
1993-09-02,119.79000091552734,119.79000091552734,119.79000091552734,119.79000091552734,0
1993-09-03,119.83000183105469,119.83000183105469,119.83000183105469,119.83000183105469,0
1993-09-07,119.31999969482422,119.31999969482422,119.31999969482422,119.31999969482422,0
1993-09-08,119.0,119.0,119.0,119.0,0
1993-09-09,118.30000305175781,118.30000305175781,118.30000305175781,118.30000305175781,0
1993-09-10,119.5999984741211,119.5999984741211,119.5999984741211,119.5999984741211,0
1993-09-13,120.16000366210938,120.16000366210938,120.16000366210938,120.16000366210938,0
1993-09-14,119.3499984741211,119.3499984741211,119.3499984741211,119.3499984741211,0
1993-09-15,119.94999694824219,119.94999694824219,119.94999694824219,119.94999694824219,0
1993-09-16,118.72000122070312,118.72000122070312,118.72000122070312,118.72000122070312,0
1993-09-17,119.05000305175781,119.05000305175781,119.05000305175781,119.05000305175781,0
1993-09-20,118.01000213623047,118.01000213623047,118.01000213623047,118.01000213623047,0
1993-09-21,117.16999816894531,117.16999816894531,117.16999816894531,117.16999816894531,0
1993-09-22,117.8499984741211,117.8499984741211,117.8499984741211,117.8499984741211,0
1993-09-23,118.08000183105469,118.08000183105469,118.08000183105469,118.08000183105469,0
1993-09-24,116.55999755859375,116.55999755859375,116.55999755859375,116.55999755859375,0
1993-09-27,118.26000213623047,118.26000213623047,118.26000213623047,118.26000213623047,0
1993-09-28,118.77999877929688,118.77999877929688,118.77999877929688,118.77999877929688,0
1993-09-29,117.86000061035156,117.86000061035156,117.86000061035156,117.86000061035156,0
1993-09-30,117.66999816894531,117.66999816894531,117.66999816894531,117.66999816894531,0
1993-10-01,117.9800033569336,117.9800033569336,117.9800033569336,117.9800033569336,0
1993-10-04,117.30999755859375,117.30999755859375,117.30999755859375,117.30999755859375,0
1993-10-05,116.69000244140625,116.69000244140625,116.69000244140625,116.69000244140625,0
1993-10-06,116.75,116.75,116.75,116.75,0
1993-10-07,115.52999877929688,115.52999877929688,115.52999877929688,115.52999877929688,0
1993-10-08,115.77999877929688,115.77999877929688,115.77999877929688,115.77999877929688,0
1993-10-11,114.30999755859375,114.30999755859375,114.30999755859375,114.30999755859375,0
1993-10-12,114.68000030517578,114.68000030517578,114.68000030517578,114.68000030517578,0
1993-10-13,114.93000030517578,114.93000030517578,114.93000030517578,114.93000030517578,0
1993-10-14,120.37000274658203,120.37000274658203,120.37000274658203,120.37000274658203,0
1993-10-15,120.3499984741211,120.3499984741211,120.3499984741211,120.3499984741211,0
1993-10-18,118.33000183105469,118.33000183105469,118.33000183105469,118.33000183105469,0
1993-10-19,119.05000305175781,119.05000305175781,119.05000305175781,119.05000305175781,0
1993-10-20,119.13999938964844,119.13999938964844,119.13999938964844,119.13999938964844,0
1993-10-21,117.66999816894531,117.66999816894531,117.66999816894531,117.66999816894531,0
1993-10-22,116.19000244140625,116.19000244140625,116.19000244140625,116.19000244140625,0
1993-10-25,116.5999984741211,116.5999984741211,116.5999984741211,116.5999984741211,0
1993-10-26,116.80999755859375,116.80999755859375,116.80999755859375,116.80999755859375,0
1993-10-27,117.22000122070312,117.22000122070312,117.22000122070312,117.22000122070312,0
1993-10-28,117.4800033569336,117.4800033569336,117.4800033569336,117.4800033569336,0
1993-10-29,117.8499984741211,117.8499984741211,117.8499984741211,117.8499984741211,0
1993-11-01,117.94000244140625,117.94000244140625,117.94000244140625,117.94000244140625,0
1993-11-02,118.30999755859375,118.30999755859375,118.30999755859375,118.30999755859375,0
1993-11-03,116.19999694824219,116.19999694824219,116.19999694824219,116.19999694824219,0
1993-11-04,114.41999816894531,114.41999816894531,114.41999816894531,114.41999816894531,0
1993-11-05,114.70999908447266,114.70999908447266,114.70999908447266,114.70999908447266,0
1993-11-08,113.8499984741211,113.8499984741211,113.8499984741211,113.8499984741211,0
1993-11-09,113.26000213623047,113.26000213623047,113.26000213623047,113.26000213623047,0
1993-11-10,113.04000091552734,113.04000091552734,113.04000091552734,113.04000091552734,0
1993-11-11,113.55999755859375,113.55999755859375,113.55999755859375,113.55999755859375,0
1993-11-12,113.29000091552734,113.29000091552734,113.29000091552734,113.29000091552734,0
1993-11-15,112.68000030517578,112.68000030517578,112.68000030517578,112.68000030517578,0
1993-11-16,113.26000213623047,113.26000213623047,113.26000213623047,113.26000213623047,0
1993-11-17,112.2300033569336,112.2300033569336,112.2300033569336,112.2300033569336,0
1993-11-18,111.5999984741211,111.5999984741211,111.5999984741211,111.5999984741211,0
1993-11-19,110.98999786376953,110.98999786376953,110.98999786376953,110.98999786376953,0
1993-11-22,109.61000061035156,109.61000061035156,109.61000061035156,109.61000061035156,0
1993-11-23,110.18000030517578,110.18000030517578,110.18000030517578,110.18000030517578,0
1993-11-24,110.80999755859375,110.80999755859375,110.80999755859375,110.80999755859375,0
1993-11-26,111.8499984741211,111.8499984741211,111.8499984741211,111.8499984741211,0
1993-11-29,111.6500015258789,111.6500015258789,111.6500015258789,111.6500015258789,0
1993-11-30,111.1500015258789,111.1500015258789,111.1500015258789,111.1500015258789,0
1993-12-01,110.37999725341797,110.37999725341797,110.37999725341797,110.37999725341797,0
1993-12-02,111.18000030517578,111.18000030517578,111.18000030517578,111.18000030517578,0
1993-12-03,111.79000091552734,111.79000091552734,111.79000091552734,111.79000091552734,0
1993-12-06,112.56999969482422,112.56999969482422,112.56999969482422,112.56999969482422,0
1993-12-07,112.30999755859375,112.30999755859375,112.30999755859375,112.30999755859375,0
1993-12-08,111.44999694824219,111.44999694824219,111.44999694824219,111.44999694824219,0
1993-12-09,110.73999786376953,110.73999786376953,110.73999786376953,110.73999786376953,0
1993-12-10,110.77999877929688,110.77999877929688,110.77999877929688,110.77999877929688,0
1993-12-13,111.36000061035156,111.36000061035156,111.36000061035156,111.36000061035156,0
1993-12-14,111.12000274658203,111.12000274658203,111.12000274658203,111.12000274658203,0
1993-12-15,110.9000015258789,110.9000015258789,110.9000015258789,110.9000015258789,0
1993-12-16,110.93000030517578,110.93000030517578,110.93000030517578,110.93000030517578,0
1993-12-17,111.51000213623047,111.51000213623047,111.51000213623047,111.51000213623047,0
1993-12-20,111.33000183105469,111.33000183105469,111.33000183105469,111.33000183105469,0
1993-12-21,111.29000091552734,111.29000091552734,111.29000091552734,111.29000091552734,0
