Freq,Bsln_Abs,Npar_Abs,Ext_Abs,Bsln_Sq,Npar_Sq,Ext_Sq
1 mth,0.4636,0.9893,0.9896,0.4562,1.0352,1.0412
2 mth,0.441,0.9913,0.9861,0.424,1.0417,1.0475
3 mth,0.4217,0.9822,0.9723,0.4051,1.0608,1.0782
