Freq,Bsln_Abs,Npar_Abs,Ext_Abs,Bsln_Sq,Npar_Sq,Ext_Sq
1 mth,0.5167,1.0418,1.0399,0.5621,1.0837,1.0813
2 mth,0.5416,1.0358,1.0463,0.6232,1.0836,1.1106
3 mth,0.5221,1.0906,1.1026,0.6047,1.1712,1.2177
