Freq,Mean,Std.Dev,Skewness,Ex.Kurtosis,JB p-val
1 mth,0.0076,0.044,-0.8291,2.6695,0.0
2 mth,0.0152,0.0598,-1.0741,3.7542,0.0
3 mth,0.0228,0.0803,-0.961,1.4656,0.0
