Freq,Bsln_Abs,Npar_Abs,Ext_Abs,Bsln_Sq,Npar_Sq,Ext_Sq
1 mth,0.4687,1.0161,1.0221,0.4671,1.1012,1.1175
2 mth,0.4009,1.0181,1.0101,0.3444,1.0859,1.0854
3 mth,0.3908,0.9663,0.9487,0.344,1.0571,1.0529
